                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.88942,                0.73755,                 1.1869,                0.94262,                0.93752,                0.97279,                0.74569,                 1.0229,                0.94386,                 1.3551,               0.006535,               0.006535,               0.006535
                     37,                0.88181,                 0.7244,                 1.1867,                0.92766,                 0.9547,                 0.9736,                0.75327,                0.97059,                0.68631,                 1.3117,               0.006436,               0.006436,               0.006436
                     38,                0.89132,                0.73036,                 1.1887,                0.93774,                 0.9533,                0.97425,                0.75169,                 1.0148,                0.98694,                 1.3335,               0.006337,               0.006337,               0.006337
                     39,                0.86499,                0.71356,                 1.1698,                0.95291,                0.94614,                0.97638,                0.76939,                0.99524,                 0.6408,                 1.3419,               0.006238,               0.006238,               0.006238
                     40,                0.86704,                0.70831,                 1.1681,                 0.9547,                0.95503,                0.97373,                0.75472,                0.94535,                0.84744,                 1.2782,               0.006139,               0.006139,               0.006139
                     41,                0.84995,                0.70098,                 1.1654,                0.94996,                0.94581,                0.97986,                0.75599,                0.97592,                0.81861,                 1.3057,                0.00604,                0.00604,                0.00604
                     42,                 0.8515,                0.68963,                 1.1582,                0.95302,                0.95102,                0.97989,                0.76537,                0.95102,                0.80872,                  1.299,               0.005941,               0.005941,               0.005941
                     43,                0.83281,                0.67538,                  1.149,                0.95247,                  0.954,                0.98297,                0.77756,                0.95971,                0.80997,                 1.3125,               0.005842,               0.005842,               0.005842
                     44,                0.85264,                0.68571,                 1.1601,                0.93934,                0.95681,                0.97756,                0.77682,                0.93754,                0.69045,                 1.2763,               0.005743,               0.005743,               0.005743
                     45,                0.82974,                0.66146,                 1.1483,                 0.9473,                 0.9636,                0.98339,                  0.778,                0.95922,                0.64448,                 1.3261,               0.005644,               0.005644,               0.005644
                     46,                0.83488,                0.66921,                 1.1478,                 0.9526,                0.95497,                0.98422,                0.77984,                0.88747,                0.63885,                 1.2439,               0.005545,               0.005545,               0.005545
                     47,                 0.8113,                0.64642,                  1.142,                0.96297,                0.95272,                 0.9841,                0.78867,                0.90417,                0.65339,                  1.253,               0.005446,               0.005446,               0.005446
                     48,                0.80761,                0.65364,                 1.1326,                0.94938,                0.95823,                0.98356,                0.78692,                 0.8708,                0.60866,                 1.2129,               0.005347,               0.005347,               0.005347
                     49,                0.81234,                0.64702,                  1.135,                0.96223,                0.96053,                 0.9839,                 0.7944,                0.90416,                0.65394,                 1.2505,               0.005248,               0.005248,               0.005248
                     50,                0.80968,                0.65459,                 1.1363,                0.96607,                0.95348,                0.98595,                0.79509,                0.83788,                0.65679,                 1.1986,               0.005149,               0.005149,               0.005149
                     51,                0.79501,                0.63594,                 1.1255,                0.94756,                0.97299,                0.98575,                 0.7976,                0.88895,                0.57567,                 1.2528,                0.00505,                0.00505,                0.00505
                     52,                0.78791,                0.62922,                 1.1223,                0.94017,                0.97382,                0.98034,                0.79419,                 0.8497,                0.65373,                 1.1927,               0.004951,               0.004951,               0.004951
                     53,                0.78527,                0.63198,                 1.1211,                0.95685,                0.97202,                0.98103,                0.79456,                0.84173,                0.59663,                 1.1926,               0.004852,               0.004852,               0.004852
                     54,                0.77659,                0.61935,                 1.1138,                0.96206,                0.96127,                0.98464,                0.79915,                0.84122,                0.59168,                 1.1886,               0.004753,               0.004753,               0.004753
                     55,                0.78782,                0.61962,                 1.1231,                0.96549,                0.96241,                0.98595,                0.80103,                0.84021,                0.66419,                 1.1993,               0.004654,               0.004654,               0.004654
                     56,                0.78093,                 0.6239,                  1.115,                 0.9681,                0.95673,                 0.9862,                0.80292,                0.83595,                0.56229,                 1.1833,               0.004555,               0.004555,               0.004555
                     57,                0.77581,                0.60405,                 1.1138,                0.95491,                 0.9689,                0.98597,                0.81186,                0.79354,                0.55945,                 1.1611,               0.004456,               0.004456,               0.004456
                     58,                0.75828,                0.59601,                 1.1043,                0.95903,                0.97076,                0.98608,                0.81333,                0.80589,                0.60022,                 1.1688,               0.004357,               0.004357,               0.004357
                     59,                0.75857,                0.59516,                 1.1012,                0.96251,                0.97065,                0.98687,                0.80955,                0.82011,                0.59629,                 1.1795,               0.004258,               0.004258,               0.004258
                     60,                0.74945,                0.58189,                 1.0958,                0.97641,                0.96042,                0.98875,                0.82106,                0.77806,                0.52498,                  1.135,               0.004159,               0.004159,               0.004159
                     61,                0.75143,                0.58488,                 1.0978,                 0.9549,                0.97106,                0.98638,                0.81742,                0.75097,                0.50301,                 1.1121,                0.00406,                0.00406,                0.00406
                     62,                0.73967,                0.57877,                 1.0963,                0.97153,                0.96286,                0.98758,                0.82048,                0.76537,                0.53766,                 1.1227,               0.003961,               0.003961,               0.003961
                     63,                0.74607,                0.57276,                 1.0955,                0.97059,                0.97215,                  0.988,                0.81962,                0.79244,                0.58738,                 1.1559,               0.003862,               0.003862,               0.003862
                     64,                0.72775,                0.56805,                 1.0873,                0.97011,                0.96939,                0.98786,                0.82161,                0.76257,                0.48101,                  1.124,               0.003763,               0.003763,               0.003763
                     65,                0.72262,                0.56242,                 1.0817,                0.97106,                0.97412,                0.98819,                0.82245,                0.76508,                0.59563,                 1.1229,               0.003664,               0.003664,               0.003664
                     66,                0.72127,                0.55998,                 1.0833,                0.96609,                0.97561,                0.98713,                 0.8266,                0.74696,                0.57263,                 1.1121,               0.003565,               0.003565,               0.003565
                     67,                0.71366,                0.55271,                 1.0783,                0.97314,                0.97013,                0.98921,                0.82966,                0.75837,                0.52109,                 1.1206,               0.003466,               0.003466,               0.003466
                     68,                0.71157,                0.54858,                 1.0744,                0.97588,                  0.969,                0.98931,                0.82606,                0.73859,                 0.4583,                 1.1101,               0.003367,               0.003367,               0.003367
                     69,                0.70913,                0.54669,                 1.0763,                0.98148,                0.97116,                0.98921,                0.83241,                0.72551,                0.50699,                 1.0927,               0.003268,               0.003268,               0.003268
                     70,                0.69057,                0.53089,                 1.0639,                0.98053,                0.97296,                0.98978,                0.83456,                 0.7211,                0.45617,                  1.098,               0.003169,               0.003169,               0.003169
                     71,                0.68865,                0.53398,                 1.0677,                0.98161,                0.97537,                0.98938,                0.83709,                0.73714,                 0.5439,                 1.1018,                0.00307,                0.00307,                0.00307
                     72,                0.69023,                0.53888,                 1.0659,                0.97677,                0.97319,                0.98847,                 0.8347,                0.74747,                0.49733,                 1.1124,               0.002971,               0.002971,               0.002971
                     73,                0.67765,                 0.5234,                 1.0582,                0.97914,                0.97551,                0.98978,                0.83906,                0.71907,                 0.5559,                 1.0887,               0.002872,               0.002872,               0.002872
                     74,                 0.6821,                0.52178,                 1.0663,                0.96774,                0.98225,                0.98911,                 0.8369,                0.72837,                0.45703,                 1.1116,               0.002773,               0.002773,               0.002773
                     75,                0.66317,                0.51298,                 1.0504,                0.97157,                0.97993,                0.98813,                0.84434,                0.70576,                0.51515,                 1.0942,               0.002674,               0.002674,               0.002674
                     76,                0.67094,                0.50991,                 1.0522,                0.97352,                0.97474,                0.98755,                0.84337,                0.69138,                  0.512,                 1.0837,               0.002575,               0.002575,               0.002575
                     77,                0.66423,                0.51366,                 1.0534,                0.97499,                0.97423,                0.98814,                0.84363,                0.68237,                0.48267,                 1.0778,               0.002476,               0.002476,               0.002476
                     78,                0.65466,                0.50337,                 1.0422,                0.97775,                0.97805,                 0.9897,                0.84464,                0.67618,                0.45019,                 1.0696,               0.002377,               0.002377,               0.002377
                     79,                0.65879,                0.49946,                 1.0502,                0.97886,                0.97291,                0.98977,                0.85036,                0.66839,                0.43949,                 1.0553,               0.002278,               0.002278,               0.002278
                     80,                0.64646,                0.49312,                 1.0441,                  0.974,                 0.9796,                0.98924,                0.84642,                0.66614,                0.45054,                 1.0564,               0.002179,               0.002179,               0.002179
                     81,                0.65095,                0.49995,                 1.0433,                0.98279,                0.97314,                0.98923,                0.84776,                0.66867,                0.42929,                 1.0542,                0.00208,                0.00208,                0.00208
                     82,                0.63802,                0.48881,                  1.037,                0.97276,                0.98541,                0.98937,                0.85015,                0.65739,                0.43175,                 1.0487,               0.001981,               0.001981,               0.001981
                     83,                0.62981,                0.47813,                 1.0309,                0.97919,                0.98108,                 0.9904,                0.85031,                0.66104,                0.42902,                 1.0488,               0.001882,               0.001882,               0.001882
                     84,                0.62806,                0.47971,                  1.032,                0.97911,                0.97739,                0.99067,                 0.8496,                0.65107,                 0.4468,                 1.0394,               0.001783,               0.001783,               0.001783
                     85,                0.62824,                0.47823,                 1.0353,                0.97763,                0.98051,                0.98992,                0.85118,                0.64583,                 0.4529,                 1.0357,               0.001684,               0.001684,               0.001684
                     86,                0.62069,                0.47049,                 1.0276,                0.97491,                0.97756,                0.98831,                0.85218,                0.64065,                0.46082,                 1.0303,               0.001585,               0.001585,               0.001585
                     87,                0.62212,                0.47223,                 1.0309,                0.97556,                0.97908,                 0.9895,                0.85624,                0.64588,                0.45476,                  1.033,               0.001486,               0.001486,               0.001486
                     88,                0.60997,                0.46873,                 1.0242,                0.97259,                0.98243,                0.98974,                0.85582,                0.64191,                0.45723,                 1.0326,               0.001387,               0.001387,               0.001387
                     89,                0.61074,                0.46155,                 1.0234,                0.97424,                0.97918,                0.98921,                0.85758,                0.64065,                0.44851,                 1.0277,               0.001288,               0.001288,               0.001288
                     90,                0.60558,                0.46113,                 1.0248,                0.97712,                0.98004,                0.99058,                0.85787,                 0.6365,                0.44234,                 1.0249,               0.001189,               0.001189,               0.001189
                     91,                0.48409,                0.30026,                0.94106,                0.97483,                0.98205,                0.99033,                0.85669,                0.63662,                0.43534,                  1.029,                0.00109,                0.00109,                0.00109
                     92,                0.46478,                0.28679,                0.92782,                0.97762,                0.98328,                0.99083,                0.85645,                 0.6383,                0.42477,                 1.0329,               0.000991,               0.000991,               0.000991
                     93,                 0.4601,                0.27831,                0.92839,                0.97418,                0.98276,                0.99126,                  0.859,                0.63416,                 0.4083,                 1.0325,               0.000892,               0.000892,               0.000892
                     94,                0.44866,                 0.2749,                0.92404,                 0.9733,                0.98454,                0.99093,                0.86009,                 0.6268,                0.40888,                 1.0275,               0.000793,               0.000793,               0.000793
                     95,                0.43891,                0.26965,                0.91595,                 0.9774,                0.98307,                0.99155,                0.86103,                0.61999,                0.39857,                 1.0221,               0.000694,               0.000694,               0.000694
                     96,                0.43411,                 0.2685,                0.90992,                0.98006,                0.98376,                0.99171,                0.86219,                0.61406,                0.38343,                 1.0205,               0.000595,               0.000595,               0.000595
                     97,                0.42865,                0.26316,                0.91111,                0.98112,                0.98266,                0.99137,                0.86248,                 0.6096,                0.37139,                 1.0146,               0.000496,               0.000496,               0.000496
                     98,                0.41964,                0.25783,                0.90475,                0.98011,                0.98331,                0.99108,                0.86206,                0.60652,                0.36102,                 1.0078,               0.000397,               0.000397,               0.000397
                     99,                0.41999,                0.25605,                0.90207,                0.98059,                0.98194,                0.99092,                0.86331,                0.60347,                0.35214,                 1.0031,               0.000298,               0.000298,               0.000298
                    100,                0.41517,                0.24998,                0.90379,                 0.9809,                 0.9807,                0.99096,                0.86297,                0.60099,                0.34932,                 1.0004,               0.000199,               0.000199,               0.000199
